14/07/01-09:41:24 - 5 packets transmitted, 4 received, 20% packet loss, time 4008ms rtt min/avg/max/mdev = 292.448/294.014/295.133/1.249 ms
14/07/01-09:43:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.102/294.923/296.158/0.992 ms
14/07/01-09:44:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.225/295.011/295.569/0.745 ms
14/07/01-09:46:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.051/293.418/293.893/0.739 ms
14/07/01-09:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 292.131/294.121/295.682/1.359 ms
14/07/01-09:49:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 290.467/291.271/292.953/1.112 ms
14/07/01-09:51:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 291.298/292.379/293.828/0.971 ms
14/07/01-09:53:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 291.367/292.207/292.632/0.741 ms
14/07/01-09:54:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.111/292.888/294.311/1.056 ms
14/07/01-09:56:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.108/294.915/296.194/1.023 ms
14/07/01-09:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.378/294.092/295.027/0.880 ms
14/07/01-09:59:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.127/294.154/295.183/0.809 ms
14/07/01-10:01:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 294.208/294.751/295.229/0.417 ms
14/07/01-10:03:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.551/294.483/295.550/0.698 ms
14/07/01-10:04:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 294.290/295.053/296.088/0.948 ms
14/07/01-10:06:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 290.574/291.782/292.675/0.808 ms
14/07/01-10:08:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 290.542/292.121/293.585/1.289 ms
14/07/01-10:09:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 289.662/290.660/291.484/0.812 ms
14/07/01-10:11:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 294.261/294.676/294.984/0.734 ms
14/07/01-10:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 289.810/291.537/292.255/1.111 ms
14/07/01-10:14:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 292.538/293.495/294.671/0.953 ms
14/07/01-10:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 292.760/293.523/294.967/0.917 ms
14/07/01-10:18:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 292.747/293.480/295.082/1.093 ms
14/07/01-10:19:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 292.557/293.528/294.561/0.794 ms
14/07/01-10:21:36 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 293.555/293.923/294.348/0.722 ms
14/07/01-10:23:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.680/293.876/294.230/0.391 ms
14/07/01-10:24:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 292.802/293.331/294.058/0.662 ms
14/07/01-10:26:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 292.769/293.288/294.329/0.685 ms
14/07/01-10:28:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 292.808/293.281/293.791/0.519 ms
14/07/01-10:29:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 295.063/295.508/296.184/0.413 ms
14/07/01-10:31:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 295.175/295.740/296.464/0.705 ms
14/07/01-10:33:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 295.340/296.074/296.704/0.689 ms
14/07/01-10:34:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.983/295.473/296.896/0.715 ms
14/07/01-10:36:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 295.376/295.830/296.601/0.808 ms
14/07/01-10:38:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 295.413/296.252/296.895/0.516 ms
14/07/01-10:39:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 295.474/296.360/297.657/0.930 ms
14/07/01-10:41:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 292.926/293.650/294.758/0.954 ms
14/07/01-10:43:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.928/293.417/294.005/0.721 ms
14/07/01-10:45:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.864/293.469/294.037/0.608 ms
14/07/01-10:46:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 292.685/293.014/293.553/0.475 ms
14/07/01-10:48:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.034/293.678/294.617/0.526 ms
14/07/01-10:50:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.085/294.040/296.106/1.208 ms
14/07/01-10:51:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.004/294.123/295.367/0.874 ms
14/07/01-10:53:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.771/293.664/295.631/1.264 ms
14/07/01-10:55:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 289.874/291.014/292.075/0.943 ms
14/07/01-10:56:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 292.039/293.119/293.825/0.803 ms
14/07/01-10:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.984/293.595/294.026/0.543 ms
