14/07/01-10:55:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.819/177.931/178.015/0.538 ms
14/07/01-10:56:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.829/177.902/178.037/0.276 ms
14/07/01-10:58:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.805/177.991/178.118/0.285 ms
14/07/01-11:00:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.855/177.970/178.112/0.469 ms
14/07/01-11:01:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.908/178.052/178.483/0.219 ms
14/07/01-11:03:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.849/177.994/178.237/0.399 ms
14/07/01-11:04:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.897/178.043/178.460/0.508 ms
14/07/01-11:06:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.718/177.832/177.898/0.466 ms
14/07/01-11:08:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.888/177.977/178.181/0.474 ms
14/07/01-11:09:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.917/177.978/178.052/0.049 ms
14/07/01-11:11:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.889/177.973/178.153/0.094 ms
14/07/01-11:13:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.874/177.906/177.986/0.379 ms
14/07/01-11:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.920/178.070/178.430/0.327 ms
14/07/01-11:16:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 178.008/178.081/178.151/0.272 ms
14/07/01-11:18:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.854/177.969/178.064/0.538 ms
14/07/01-11:19:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.921/178.013/178.190/0.094 ms
14/07/01-11:21:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.882/178.072/178.575/0.253 ms
14/07/01-11:23:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.896/178.059/178.383/0.493 ms
14/07/01-11:24:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.886/177.933/177.999/0.464 ms
14/07/01-11:26:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.625/178.006/178.537/0.573 ms
14/07/01-11:27:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.719/177.857/178.146/0.308 ms
14/07/01-11:29:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.787/177.868/178.122/0.479 ms
14/07/01-11:31:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.742/177.822/177.936/0.466 ms
14/07/01-11:32:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.699/177.954/178.256/0.515 ms
14/07/01-11:34:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.829/177.864/177.916/0.463 ms
14/07/01-11:36:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.744/177.896/178.369/0.446 ms
14/07/01-11:37:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.837/180.008/188.105/4.069 ms
14/07/01-11:39:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.805/178.010/178.402/0.343 ms
14/07/01-11:41:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.672/177.860/178.045/0.397 ms
14/07/01-11:42:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.727/177.856/178.107/0.132 ms
14/07/01-11:44:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.747/177.831/177.942/0.384 ms
14/07/01-11:45:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.751/177.863/178.063/0.108 ms
14/07/01-11:47:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.788/177.836/177.917/0.464 ms
14/07/01-11:49:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.795/177.953/178.277/0.167 ms
14/07/01-11:50:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.816/178.099/178.423/0.510 ms
14/07/01-11:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.834/177.895/178.018/0.068 ms
14/07/01-11:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.852/177.895/177.943/0.378 ms
14/07/01-11:55:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.767/177.858/177.973/0.468 ms
14/07/01-11:57:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.848/178.050/178.428/0.584 ms
14/07/01-11:59:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.833/177.874/177.945/0.379 ms
14/07/01-12:00:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.780/177.861/178.034/0.541 ms
14/07/01-12:02:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.819/177.968/178.276/0.557 ms
14/07/01-12:04:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.801/177.949/178.075/0.089 ms
14/07/01-12:06:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.873/178.025/178.510/0.522 ms
14/07/01-12:08:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.809/180.689/191.511/5.419 ms
